"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 14 11:38:21 BDT 2022","Wed Dec 14 11:38:21 BDT 2022","31",""," Test Case 12: Add Products in Cart ","","","","TC - 11. Verify their prices, quantity and total price",""
"passed","Wed Dec 14 11:38:11 BDT 2022","Wed Dec 14 11:38:17 BDT 2022","6092",""," Test Case 12: Add Products in Cart ","","","","Verify user is navigated to ALL PRODUCTS page successfully ",""
"passed","Wed Dec 14 11:42:41 BDT 2022","Wed Dec 14 11:42:41 BDT 2022","20","","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","","","","Verify 'SUBSCRIPTION' is visible",""
"passed","Wed Dec 14 11:41:27 BDT 2022","Wed Dec 14 11:41:27 BDT 2022","31","","Test Case 21: Add review on product","","","","Verify 'Write Your Review' is visible",""
"passed","Wed Dec 14 11:43:51 BDT 2022","Wed Dec 14 11:43:51 BDT 2022","26","","Test Case 4: Logout User","","","","Verify 'Login to your account' is visible",""
"passed","Wed Dec 14 11:42:50 BDT 2022","Wed Dec 14 11:42:50 BDT 2022","13","","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","","","","TC - 4. Scroll down page to bottom",""
"passed","Wed Dec 14 11:43:14 BDT 2022","Wed Dec 14 11:43:14 BDT 2022","6","","Test Case 2: Login User with correct email and password","","","","Click 'Delete Account' button",""
"passed","Wed Dec 14 11:39:31 BDT 2022","Wed Dec 14 11:39:31 BDT 2022","90","","Test Case 17: Remove Products From Cart","","",""," Click 'X' button corresponding to particular product",""
"failed","Wed Dec 14 11:40:15 BDT 2022","Wed Dec 14 11:40:16 BDT 2022","1082","","Test Case 1: Register User","","","","Fill details: Title, Name, Email, Password, Date of birth ",""
"passed","Wed Dec 14 11:38:58 BDT 2022","Wed Dec 14 11:39:00 BDT 2022","2036",""," Test Case 14: Place Order: Register while Checkout ","","","","Verify that 'Logged in as username' is visible",""
"passed","Wed Dec 14 11:39:11 BDT 2022","Wed Dec 14 11:39:11 BDT 2022","4",""," Test Case 15: Place Order: Register before Checkout ","","","","Click 'Cart' button",""
"passed","Wed Dec 14 11:43:49 BDT 2022","Wed Dec 14 11:43:49 BDT 2022","878","","Test Case 4: Logout User","","","","Verify that home page is visible successfully",""
"passed","Wed Dec 14 11:43:01 BDT 2022","Wed Dec 14 11:43:02 BDT 2022","868","","Test Case 2: Login User with correct email and password","","","","Verify that home page is visible successfully",""
"passed","Wed Dec 14 11:39:02 BDT 2022","Wed Dec 14 11:39:11 BDT 2022","8359",""," Test Case 15: Place Order: Register before Checkout ","","","","Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:38:50 BDT 2022","Wed Dec 14 11:38:51 BDT 2022","765",""," Test Case 14: Place Order: Register while Checkout ","","","","Enter correct email address and password",""
"passed","Wed Dec 14 11:37:40 BDT 2022","Wed Dec 14 11:37:40 BDT 2022","101",""," Test Case 10: Verify Subscription in home page ","","","","Verify success message 'You have been successfully subscribed!' is visible ",""
"passed","Wed Dec 14 11:39:21 BDT 2022","Wed Dec 14 11:39:29 BDT 2022","7964","","Test Case 17: Remove Products From Cart","","","","Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:38:04 BDT 2022","Wed Dec 14 11:38:11 BDT 2022","6650",""," Test Case 12: Add Products in Cart ","","","","Click on 'Products' button ",""
"passed","Wed Dec 14 11:45:08 BDT 2022","Wed Dec 14 11:45:15 BDT 2022","6415",""," Test Case 9: Search Product ","","","","Click on 'Products' button ",""
"passed","Wed Dec 14 11:39:01 BDT 2022","Wed Dec 14 11:39:01 BDT 2022","121",""," Test Case 14: Place Order: Register while Checkout ","","","","Click 'Proceed To Checkout' button ",""
"passed","Wed Dec 14 11:42:41 BDT 2022","Wed Dec 14 11:42:41 BDT 2022","21","","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","","","","Verify that page is scrolled up and 'Full-Fledged practice website fTC - or Automation Engineers' text is visible on screen",""
"passed","Wed Dec 14 11:39:11 BDT 2022","Wed Dec 14 11:39:11 BDT 2022","7",""," Test Case 15: Place Order: Register before Checkout ","","","","Verify 'ACCOUNT CREATED!' and click 'Continue' button",""
"passed","Wed Dec 14 11:39:01 BDT 2022","Wed Dec 14 11:39:01 BDT 2022","8",""," Test Case 14: Place Order: Register while Checkout ","","","","Enter payment details: Name on Card, Card Number, CVC, Expiration date ",""
"passed","Wed Dec 14 11:43:02 BDT 2022","Wed Dec 14 11:43:03 BDT 2022","1196","","Test Case 2: Login User with correct email and password","","","","Click on 'Signup / Login' button",""
